timestamp,endpoint,requests_total,errors_total,latency_sum_ms_total,latency_count_total
2026-03-07T14:24:56.000Z,/api/db,0,0,0,0
2026-03-07T14:24:56.000Z,/api/error,0,0,0,0
2026-03-07T14:24:56.000Z,/api/normal,1,0,24.97,1
2026-03-07T14:24:56.000Z,/api/slow,0,0,0,0
2026-03-07T14:24:56.000Z,/api/validate,0,0,0,0
2026-03-07T14:24:57.000Z,/api/db,0,0,0,0
2026-03-07T14:24:57.000Z,/api/error,0,0,0,0
2026-03-07T14:24:57.000Z,/api/normal,1,0,24.97,1
2026-03-07T14:24:57.000Z,/api/slow,0,0,0,0
2026-03-07T14:24:57.000Z,/api/validate,0,0,0,0
2026-03-07T14:24:58.000Z,/api/db,0,0,0,0
2026-03-07T14:24:58.000Z,/api/error,0,0,0,0
2026-03-07T14:24:58.000Z,/api/normal,1,0,24.97,1
2026-03-07T14:24:58.000Z,/api/slow,0,0,0,0
2026-03-07T14:24:58.000Z,/api/validate,0,0,0,0
2026-03-07T14:24:59.000Z,/api/db,0,0,0,0
2026-03-07T14:24:59.000Z,/api/error,0,0,0,0
2026-03-07T14:24:59.000Z,/api/normal,1,0,24.97,1
2026-03-07T14:24:59.000Z,/api/slow,0,0,0,0
2026-03-07T14:24:59.000Z,/api/validate,0,0,0,0
2026-03-07T14:25:00.000Z,/api/db,0,0,0,0
2026-03-07T14:25:00.000Z,/api/error,0,0,0,0
2026-03-07T14:25:00.000Z,/api/normal,1,0,24.97,1
2026-03-07T14:25:00.000Z,/api/slow,0,0,0,0
2026-03-07T14:25:00.000Z,/api/validate,0,0,0,0
2026-03-07T14:25:01.000Z,/api/db,0,0,0,0
2026-03-07T14:25:01.000Z,/api/error,0,0,0,0
2026-03-07T14:25:01.000Z,/api/normal,1,0,24.97,1
2026-03-07T14:25:01.000Z,/api/slow,0,0,0,0
2026-03-07T14:25:01.000Z,/api/validate,0,0,0,0
2026-03-07T14:25:02.000Z,/api/db,0,0,0,0
2026-03-07T14:25:02.000Z,/api/error,0,0,0,0
2026-03-07T14:25:02.000Z,/api/normal,9,0,37.55,9
2026-03-07T14:25:02.000Z,/api/slow,2,1,6150.78,2
2026-03-07T14:25:02.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:03.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:03.000Z,/api/error,0,0,0,0
2026-03-07T14:25:03.000Z,/api/normal,14,0,45.17,14
2026-03-07T14:25:03.000Z,/api/slow,2,1,6150.78,2
2026-03-07T14:25:03.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:04.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:04.000Z,/api/error,0,0,0,0
2026-03-07T14:25:04.000Z,/api/normal,14,0,45.17,14
2026-03-07T14:25:04.000Z,/api/slow,2,1,6150.78,2
2026-03-07T14:25:04.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:05.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:05.000Z,/api/error,0,0,0,0
2026-03-07T14:25:05.000Z,/api/normal,14,0,45.17,14
2026-03-07T14:25:05.000Z,/api/slow,2,1,6150.78,2
2026-03-07T14:25:05.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:06.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:06.000Z,/api/error,0,0,0,0
2026-03-07T14:25:06.000Z,/api/normal,14,0,45.17,14
2026-03-07T14:25:06.000Z,/api/slow,2,1,6150.78,2
2026-03-07T14:25:06.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:07.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:07.000Z,/api/error,0,0,0,0
2026-03-07T14:25:07.000Z,/api/normal,14,0,45.17,14
2026-03-07T14:25:07.000Z,/api/slow,2,1,6150.78,2
2026-03-07T14:25:07.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:08.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:08.000Z,/api/error,0,0,0,0
2026-03-07T14:25:08.000Z,/api/normal,21,0,54.78,21
2026-03-07T14:25:08.000Z,/api/slow,4,2,11654.97,4
2026-03-07T14:25:08.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:09.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:09.000Z,/api/error,0,0,0,0
2026-03-07T14:25:09.000Z,/api/normal,31,0,69.63,31
2026-03-07T14:25:09.000Z,/api/slow,6,2,12047.85,6
2026-03-07T14:25:09.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:10.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:10.000Z,/api/error,0,0,0,0
2026-03-07T14:25:10.000Z,/api/normal,38,0,79.51,38
2026-03-07T14:25:10.000Z,/api/slow,9,2,12862.19,9
2026-03-07T14:25:10.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:11.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:11.000Z,/api/error,0,0,0,0
2026-03-07T14:25:11.000Z,/api/normal,38,0,79.51,38
2026-03-07T14:25:11.000Z,/api/slow,9,2,12862.19,9
2026-03-07T14:25:11.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:12.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:12.000Z,/api/error,0,0,0,0
2026-03-07T14:25:12.000Z,/api/normal,39,0,88.66,39
2026-03-07T14:25:12.000Z,/api/slow,9,2,12862.19,9
2026-03-07T14:25:12.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:13.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:13.000Z,/api/error,0,0,0,0
2026-03-07T14:25:13.000Z,/api/normal,39,0,88.66,39
2026-03-07T14:25:13.000Z,/api/slow,9,2,12862.19,9
2026-03-07T14:25:13.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:14.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:14.000Z,/api/error,0,0,0,0
2026-03-07T14:25:14.000Z,/api/normal,39,0,88.66,39
2026-03-07T14:25:14.000Z,/api/slow,9,2,12862.19,9
2026-03-07T14:25:14.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:15.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:15.000Z,/api/error,0,0,0,0
2026-03-07T14:25:15.000Z,/api/normal,39,0,88.66,39
2026-03-07T14:25:15.000Z,/api/slow,9,2,12862.19,9
2026-03-07T14:25:15.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:16.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:16.000Z,/api/error,0,0,0,0
2026-03-07T14:25:16.000Z,/api/normal,39,0,88.66,39
2026-03-07T14:25:16.000Z,/api/slow,9,2,12862.19,9
2026-03-07T14:25:16.000Z,/api/validate,1,1,86.79,1
2026-03-07T14:25:17.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:17.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:17.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:17.000Z,/api/slow,11,3,18091.27,11
2026-03-07T14:25:17.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:18.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:18.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:18.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:18.000Z,/api/slow,11,3,18091.27,11
2026-03-07T14:25:18.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:19.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:19.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:19.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:19.000Z,/api/slow,11,3,18091.27,11
2026-03-07T14:25:19.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:20.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:20.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:20.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:20.000Z,/api/slow,11,3,18091.27,11
2026-03-07T14:25:20.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:21.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:21.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:21.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:21.000Z,/api/slow,11,3,18091.27,11
2026-03-07T14:25:21.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:22.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:22.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:22.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:22.000Z,/api/slow,11,3,18091.27,11
2026-03-07T14:25:22.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:23.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:23.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:23.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:23.000Z,/api/slow,12,4,24104.69,12
2026-03-07T14:25:23.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:24.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:24.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:24.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:24.000Z,/api/slow,12,4,24104.69,12
2026-03-07T14:25:24.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:25.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:25.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:25.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:25.000Z,/api/slow,12,4,24104.69,12
2026-03-07T14:25:25.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:26.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:26.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:26.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:26.000Z,/api/slow,12,4,24104.69,12
2026-03-07T14:25:26.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:27.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:27.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:27.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:27.000Z,/api/slow,12,4,24104.69,12
2026-03-07T14:25:27.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:28.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:28.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:28.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:28.000Z,/api/slow,12,4,24104.69,12
2026-03-07T14:25:28.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:29.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:29.000Z,/api/error,2,2,2.81,2
2026-03-07T14:25:29.000Z,/api/normal,43,0,97.79,43
2026-03-07T14:25:29.000Z,/api/slow,13,5,30119.55,13
2026-03-07T14:25:29.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:30.000Z,/api/db,1,0,7.91,1
2026-03-07T14:25:30.000Z,/api/error,3,3,9.92,3
2026-03-07T14:25:30.000Z,/api/normal,46,0,101.63,46
2026-03-07T14:25:30.000Z,/api/slow,14,5,30313.46,14
2026-03-07T14:25:30.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:31.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:31.000Z,/api/error,3,3,9.92,3
2026-03-07T14:25:31.000Z,/api/normal,51,0,104.83,51
2026-03-07T14:25:31.000Z,/api/slow,18,5,31484.13,18
2026-03-07T14:25:31.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:32.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:32.000Z,/api/error,3,3,9.92,3
2026-03-07T14:25:32.000Z,/api/normal,58,0,111.35,58
2026-03-07T14:25:32.000Z,/api/slow,19,5,31815.65,19
2026-03-07T14:25:32.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:33.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:33.000Z,/api/error,3,3,9.92,3
2026-03-07T14:25:33.000Z,/api/normal,58,0,111.35,58
2026-03-07T14:25:33.000Z,/api/slow,19,5,31815.65,19
2026-03-07T14:25:33.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:34.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:34.000Z,/api/error,3,3,9.92,3
2026-03-07T14:25:34.000Z,/api/normal,58,0,111.35,58
2026-03-07T14:25:34.000Z,/api/slow,19,5,31815.65,19
2026-03-07T14:25:34.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:35.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:35.000Z,/api/error,3,3,9.92,3
2026-03-07T14:25:35.000Z,/api/normal,58,0,111.35,58
2026-03-07T14:25:35.000Z,/api/slow,19,5,31815.65,19
2026-03-07T14:25:35.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:36.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:36.000Z,/api/error,3,3,9.92,3
2026-03-07T14:25:36.000Z,/api/normal,58,0,111.35,58
2026-03-07T14:25:36.000Z,/api/slow,19,5,31815.65,19
2026-03-07T14:25:36.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:37.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:37.000Z,/api/error,3,3,9.92,3
2026-03-07T14:25:37.000Z,/api/normal,69,0,120.78,69
2026-03-07T14:25:37.000Z,/api/slow,21,6,37231.36,21
2026-03-07T14:25:37.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:38.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:38.000Z,/api/error,3,3,9.92,3
2026-03-07T14:25:38.000Z,/api/normal,73,0,123.41,73
2026-03-07T14:25:38.000Z,/api/slow,23,6,37868.46,23
2026-03-07T14:25:38.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:39.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:39.000Z,/api/error,4,4,10.58,4
2026-03-07T14:25:39.000Z,/api/normal,81,0,128.99,81
2026-03-07T14:25:39.000Z,/api/slow,25,6,38719.34,25
2026-03-07T14:25:39.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:40.000Z,/api/db,2,0,30.16,2
2026-03-07T14:25:40.000Z,/api/error,4,4,10.58,4
2026-03-07T14:25:40.000Z,/api/normal,94,0,138.75,94
2026-03-07T14:25:40.000Z,/api/slow,28,6,39696.27,28
2026-03-07T14:25:40.000Z,/api/validate,2,2,93.8,2
2026-03-07T14:25:41.000Z,/api/db,3,0,51.66,3
2026-03-07T14:25:41.000Z,/api/error,6,6,11.68,6
2026-03-07T14:25:41.000Z,/api/normal,109,0,147.94,109
2026-03-07T14:25:41.000Z,/api/slow,30,6,40599.25,30
2026-03-07T14:25:41.000Z,/api/validate,3,2,95.94,3
2026-03-07T14:25:42.000Z,/api/db,3,0,51.66,3
2026-03-07T14:25:42.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:42.000Z,/api/normal,116,0,153.42,116
2026-03-07T14:25:42.000Z,/api/slow,32,6,41296.69,32
2026-03-07T14:25:42.000Z,/api/validate,4,3,97.76,4
2026-03-07T14:25:43.000Z,/api/db,3,0,51.66,3
2026-03-07T14:25:43.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:43.000Z,/api/normal,126,0,163.21,126
2026-03-07T14:25:43.000Z,/api/slow,35,6,42168.69,35
2026-03-07T14:25:43.000Z,/api/validate,4,3,97.76,4
2026-03-07T14:25:44.000Z,/api/db,4,0,53.75,4
2026-03-07T14:25:44.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:44.000Z,/api/normal,131,0,166.09,131
2026-03-07T14:25:44.000Z,/api/slow,36,6,42646.55,36
2026-03-07T14:25:44.000Z,/api/validate,4,3,97.76,4
2026-03-07T14:25:45.000Z,/api/db,4,0,53.75,4
2026-03-07T14:25:45.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:45.000Z,/api/normal,133,0,167.75,133
2026-03-07T14:25:45.000Z,/api/slow,38,6,43440.1,38
2026-03-07T14:25:45.000Z,/api/validate,4,3,97.76,4
2026-03-07T14:25:46.000Z,/api/db,4,0,53.75,4
2026-03-07T14:25:46.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:46.000Z,/api/normal,133,0,167.75,133
2026-03-07T14:25:46.000Z,/api/slow,38,6,43440.1,38
2026-03-07T14:25:46.000Z,/api/validate,4,3,97.76,4
2026-03-07T14:25:47.000Z,/api/db,4,0,53.75,4
2026-03-07T14:25:47.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:47.000Z,/api/normal,133,0,167.75,133
2026-03-07T14:25:47.000Z,/api/slow,38,6,43440.1,38
2026-03-07T14:25:47.000Z,/api/validate,4,3,97.76,4
2026-03-07T14:25:48.000Z,/api/db,4,0,53.75,4
2026-03-07T14:25:48.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:48.000Z,/api/normal,133,0,167.75,133
2026-03-07T14:25:48.000Z,/api/slow,38,6,43440.1,38
2026-03-07T14:25:48.000Z,/api/validate,4,3,97.76,4
2026-03-07T14:25:49.000Z,/api/db,4,0,53.75,4
2026-03-07T14:25:49.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:49.000Z,/api/normal,133,0,167.75,133
2026-03-07T14:25:49.000Z,/api/slow,38,6,43440.1,38
2026-03-07T14:25:49.000Z,/api/validate,4,3,97.76,4
2026-03-07T14:25:50.000Z,/api/db,4,0,53.75,4
2026-03-07T14:25:50.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:50.000Z,/api/normal,133,0,167.75,133
2026-03-07T14:25:50.000Z,/api/slow,38,6,43440.1,38
2026-03-07T14:25:50.000Z,/api/validate,4,3,97.76,4
2026-03-07T14:25:51.000Z,/api/db,4,0,53.75,4
2026-03-07T14:25:51.000Z,/api/error,7,7,12.76,7
2026-03-07T14:25:51.000Z,/api/normal,133,0,167.75,133
2026-03-07T14:25:51.000Z,/api/slow,38,6,43440.1,38
